county_name,fips,total_births,morbidity_births,morbidity_rate,state
"Rankin County, MS",28121,1802,0.0,0.0,MS
"Unidentified Counties, MS",28999,26371,230.0,0.008721701869477835,MS
"Boone County, MO",29019,2093,33.0,0.015766841853798376,MO
"Clay County, MO",29047,2962,60.0,0.02025658338960162,MO
"Franklin County, MO",29071,1248,15.0,0.01201923076923077,MO
"Greene County, MO",29077,3579,38.0,0.010617490919251188,MO
"Jackson County, MO",29095,9408,136.0,0.01445578231292517,MO
"Jasper County, MO",29097,1669,22.0,0.013181545835829839,MO
"Jefferson County, MO",29099,2633,43.0,0.01633118116217243,MO
"St. Charles County, MO",29183,4487,78.0,0.01738355248495654,MO
"St. Louis County, MO",29189,11692,166.0,0.014197742045843311,MO
"St. Louis city, MO",29510,4317,39.0,0.009034051424600417,MO
"Unidentified Counties, MO",29999,30617,450.0,0.014697716954633048,MO
"Missoula County, MT",30063,1187,15.0,0.012636899747262006,MT
"Yellowstone County, MT",30111,1935,32.0,0.016537467700258397,MT
"Unidentified Counties, MT",30999,9160,149.0,0.016266375545851527,MT
"Douglas County, NE",31055,8832,160.0,0.018115942028985508,NE
"Lancaster County, NE",31109,4019,100.0,0.02488181139586962,NE
"Sarpy County, NE",31153,2464,49.0,0.019886363636363636,NE
"Unidentified Counties, NE",31999,11274,237.0,0.021021820117083555,NE
"Clark County, NV",32003,27388,225.0,0.00821527676354608,NV
"Washoe County, NV",32031,5387,64.0,0.011880452942268424,NV
"Unidentified Counties, NV",32999,3485,43.0,0.012338593974175036,NV
"Hillsborough County, NH",33011,4240,74.0,0.017452830188679245,NH
"Merrimack County, NH",33013,1284,0.0,0.0,NH
"Rockingham County, NH",33015,2654,45.0,0.016955538809344386,NH
"Strafford County, NH",33017,1211,15.0,0.012386457473162676,NH
"Unidentified Counties, NH",33999,2878,69.0,0.023974982626824185,NH
"Atlantic County, NJ",34001,2836,34.0,0.011988716502115656,NJ
"Bergen County, NJ",34003,9464,97.0,0.010249366018596788,NJ
"Burlington County, NJ",34005,4419,52.0,0.011767368182846799,NJ
"Camden County, NJ",34007,6226,100.0,0.016061676839061997,NJ
"Cumberland County, NJ",34011,1876,59.0,0.0314498933901919,NJ
"Essex County, NJ",34013,10442,85.0,0.008140203026240184,NJ
"Gloucester County, NJ",34015,2837,48.0,0.01691928093056045,NJ
"Hudson County, NJ",34017,10383,123.0,0.011846287200231146,NJ
"Hunterdon County, NJ",34019,927,30.0,0.032362459546925564,NJ
"Mercer County, NJ",34021,4280,66.0,0.01542056074766355,NJ
"Middlesex County, NJ",34023,9332,103.0,0.011037291041577368,NJ
"Monmouth County, NJ",34025,5960,69.0,0.011577181208053691,NJ
"Morris County, NJ",34027,4633,79.0,0.01705158644506799,NJ
"Ocean County, NJ",34029,8566,94.0,0.010973616623861778,NJ
"Passaic County, NJ",34031,6842,95.0,0.01388482899736919,NJ
"Somerset County, NJ",34035,3251,50.0,0.015379883112888341,NJ
"Sussex County, NJ",34037,1180,15.0,0.012711864406779662,NJ
"Union County, NJ",34039,6756,95.0,0.014061574896388396,NJ
"Warren County, NJ",34041,958,20.0,0.020876826722338204,NJ
"Unidentified Counties, NJ",34999,1479,24.0,0.016227180527383367,NJ
"Bernalillo County, NM",35001,7574,234.0,0.030895167678901506,NM
"Dona Ana County, NM",35013,2839,160.0,0.05635787249031349,NM
"Sandoval County, NM",35043,1464,28.0,0.01912568306010929,NM
"San Juan County, NM",35045,1726,15.0,0.00869061413673233,NM
"Santa Fe County, NM",35049,1290,18.0,0.013953488372093023,NM
"Unidentified Counties, NM",35999,9799,157.0,0.01602204306561894,NM
"Albany County, NY",36001,3045,82.0,0.026929392446633827,NY
"Bronx County, NY",36005,21161,160.0,0.007561079344076367,NY
"Broome County, NY",36007,1985,31.0,0.015617128463476071,NY
"Chautauqua County, NY",36013,1345,52.0,0.038661710037174724,NY
"Dutchess County, NY",36027,2519,43.0,0.017070265978562923,NY
"Erie County, NY",36029,9916,448.0,0.04517950786607503,NY
"Jefferson County, NY",36045,1891,26.0,0.013749338974087784,NY
"Kings County, NY",36047,40802,405.0,0.009925984020391158,NY
"Monroe County, NY",36055,8004,231.0,0.02886056971514243,NY
"Nassau County, NY",36059,14329,290.0,0.020238676809267917,NY
"New York County, NY",36061,17587,315.0,0.017910956956843124,NY
"Niagara County, NY",36063,2139,86.0,0.04020570359981299,NY
"Oneida County, NY",36065,2497,44.0,0.01762114537444934,NY
"Onondaga County, NY",36067,5242,134.0,0.025562762304463946,NY
"Ontario County, NY",36069,997,28.0,0.028084252758274825,NY
"Orange County, NY",36071,4993,41.0,0.008211496094532346,NY
"Oswego County, NY",36075,1331,31.0,0.02329075882794891,NY
"Queens County, NY",36081,30377,427.0,0.01405668762550614,NY
"Rensselaer County, NY",36083,1726,40.0,0.023174971031286212,NY
"Richmond County, NY",36085,5464,37.0,0.006771595900439239,NY
"Rockland County, NY",36087,5440,50.0,0.009191176470588236,NY
"St. Lawrence County, NY",36089,1083,20.0,0.018467220683287166,NY
"Saratoga County, NY",36091,2210,54.0,0.024434389140271493,NY
"Schenectady County, NY",36093,1770,40.0,0.022598870056497175,NY
"Suffolk County, NY",36103,15559,809.0,0.05199562953917347,NY
"Tompkins County, NY",36109,787,28.0,0.035578144853875476,NY
"Ulster County, NY",36111,1482,20.0,0.01349527665317139,NY
"Westchester County, NY",36119,10280,93.0,0.009046692607003892,NY
"Unidentified Counties, NY",36999,18322,403.0,0.021995415347669467,NY
"Alamance County, NC",37001,1856,17.0,0.009159482758620689,NC
"Brunswick County, NC",37019,978,25.0,0.02556237218813906,NC
"Buncombe County, NC",37021,2595,37.0,0.014258188824662813,NC
"Cabarrus County, NC",37025,2477,19.0,0.007670569236980218,NC
"Catawba County, NC",37035,1664,10.0,0.006009615384615385,NC
"Craven County, NC",37049,1438,18.0,0.012517385257301807,NC
"Cumberland County, NC",37051,5446,33.0,0.006059493206022769,NC
"Davidson County, NC",37057,1771,28.0,0.015810276679841896,NC
"Durham County, NC",37063,4346,48.0,0.011044638748274275,NC
"Forsyth County, NC",37067,4496,80.0,0.017793594306049824,NC
"Gaston County, NC",37071,2524,35.0,0.01386687797147385,NC
"Guilford County, NC",37081,6259,202.0,0.03227352612238377,NC
"Harnett County, NC",37085,1861,19.0,0.010209564750134336,NC
"Henderson County, NC",37089,1089,11.0,0.010101010101010102,NC
"Iredell County, NC",37097,1923,31.0,0.01612064482579303,NC
"Johnston County, NC",37101,2336,21.0,0.00898972602739726,NC
"Mecklenburg County, NC",37119,14881,195.0,0.013103958067334184,NC
"New Hanover County, NC",37129,2241,47.0,0.020972780008924587,NC
"Onslow County, NC",37133,3960,58.0,0.014646464646464647,NC
"Orange County, NC",37135,1166,20.0,0.017152658662092625,NC
"Pitt County, NC",37147,2023,0.0,0.0,NC
