fips,n_obgyn,n_connected,n_hubs,n_isolated,mean_degree,median_degree,max_degree,mean_betweenness,mean_eigenvector,mean_weighted_degree,n_subspecialties,dominant_state,pct_connected,pct_isolated,pct_hub,county_name,total_births,morbidity_births,morbidity_rate,state,obgyn_per_10k_births,target,target_label
12073,47,6,1,41,0.9148936170212766,0.0,29,3.931772983165958e-06,-2.808769097791456e-20,14.085106382978724,4,FL,12.8,87.2,2.1,"Leon County, FL",2989,16.0,0.0053529608564737,FL,157.24,False,Other
12081,56,18,3,38,2.375,0.0,23,3.813164871232094e-05,7.152032720252076e-19,41.089285714285715,5,FL,32.1,67.9,5.4,"Manatee County, FL",3445,27.0,0.0078374455732946,FL,162.55,False,Other
12083,26,14,3,12,11.384615384615385,1.0,101,0.0003616655672011545,-1.4255559699670404e-18,229.92307692307693,3,FL,53.8,46.2,11.5,"Marion County, FL",3472,11.0,0.0031682027649769,FL,74.88,False,Other
12085,30,13,2,17,5.1,0.0,85,0.0006043795019553837,1.659830279414643e-19,81.9,2,FL,43.3,56.7,6.7,"Martin County, FL",1273,18.0,0.01413982717989,FL,235.66,False,Other
12086,482,44,5,438,0.9336099585062241,0.0,241,1.4723171290472733e-05,2.103103795704447e-13,16.647302904564317,9,FL,9.1,90.9,1.0,"Miami-Dade County, FL",32697,141.0,0.0043123222313973,FL,147.41,False,Other
12091,43,8,2,35,8.348837209302326,0.0,311,0.0002526305649086942,0.01716872841291825,399.3255813953488,3,FL,18.6,81.4,4.7,"Okaloosa County, FL",2784,24.0,0.0086206896551724,FL,154.45,False,Other
12095,404,59,4,345,0.7648514851485149,0.0,64,5.2855492916270525e-05,1.373204771530258e-06,12.680693069306932,8,FL,14.6,85.4,1.0,"Orange County, FL",16653,96.0,0.0057647270762024,FL,242.6,False,Other
12097,72,19,1,53,0.75,0.0,14,0.00026070523980922594,6.838727933481137e-13,13.23611111111111,6,FL,26.4,73.6,1.4,"Osceola County, FL",4328,10.0,0.0023105360443622,FL,166.36,False,Other
12099,278,77,16,201,3.2841726618705036,0.0,202,0.0003220148869971685,5.219454257269473e-16,52.388489208633096,8,FL,27.7,72.3,5.8,"Palm Beach County, FL",14965,115.0,0.0076845973939191,FL,185.77,False,Other
12101,45,13,1,32,2.8444444444444446,0.0,105,0.0003974259928388697,-2.178679034178763e-19,47.62222222222222,5,FL,28.9,71.1,2.2,"Pasco County, FL",5108,64.0,0.0125293657008613,FL,88.1,False,Other
12103,162,36,4,126,1.1358024691358024,0.0,36,2.0416596214088343e-05,7.548886552991531e-11,18.820987654320987,8,FL,22.2,77.8,2.5,"Pinellas County, FL",8480,72.0,0.0084905660377358,FL,191.04,False,Other
12105,76,20,6,56,3.3552631578947367,0.0,73,7.695224680815946e-05,-2.004202319868866e-19,60.85526315789474,6,FL,26.3,73.7,7.9,"Polk County, FL",7804,54.0,0.0069195284469502,FL,97.39,False,Other
12109,37,8,3,29,2.945945945945946,0.0,49,1.290449644916336e-05,1.7514040152028008e-19,47.972972972972975,4,FL,21.6,78.4,8.1,"St. Johns County, FL",2120,18.0,0.0084905660377358,FL,174.53,False,Other
12111,22,8,3,14,2.6818181818181817,0.0,20,0.0006891555339463861,-3.9750289790102655e-19,40.5,3,FL,36.4,63.6,13.6,"St. Lucie County, FL",2999,28.0,0.0093364454818272,FL,73.36,False,Other
12113,12,5,2,7,5.25,0.0,28,7.78493362600827e-05,0.00033778738856135994,99.16666666666667,2,FL,41.7,58.3,16.7,"Santa Rosa County, FL",1906,12.0,0.0062959076600209,FL,62.96,False,Other
12115,92,33,11,59,5.967391304347826,0.0,64,0.00018387551162484303,5.700708454405514e-13,115.20652173913044,7,FL,35.9,64.1,12.0,"Sarasota County, FL",2926,30.0,0.010252904989747,FL,314.42,False,Other
12117,52,13,0,39,0.6538461538461539,0.0,12,3.236967706216305e-05,6.53750445850519e-20,9.403846153846153,4,FL,25.0,75.0,0.0,"Seminole County, FL",4753,17.0,0.0035766884073216,FL,109.4,False,Other
12127,43,14,4,29,3.813953488372093,0.0,51,6.725567213198658e-05,-1.1382841619979496e-20,56.81395348837209,5,FL,32.6,67.4,9.3,"Volusia County, FL",5032,37.0,0.0073529411764705,FL,85.45,False,Other
