2024 CAI View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Puerto Rico Only,Part C FAC,Part D MA-PD FAC,Part D PDP FAC,Overall FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1360 ,UnitedHealthcare ,"UnitedHealthcare Benefits of Texas, Inc. ","UnitedHealth Group, Inc. ",No ,5,6,N/A ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1365 ,Martin's Point Generations Advantage ,"MARTIN'S POINT GENERATIONS ADVANTAGE, INC. ","Martin's Point Health Care, Inc. ",No ,1,1,N/A ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1372 ,AgeRight Advantage ,"MARQUIS ADVANTAGE, INC. ","Marquis Companies I, Inc. ",No ,5,5,N/A ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1395 ,Wellcare ,"NEBRASKA TOTAL CARE, INC. ",Centene Corporation ,No ,4,4,N/A ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1416 ,Wellcare ,"HARMONY HEALTH PLAN,  INC. ",Centene Corporation ,No ,4,5,N/A ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1423 ,Amerigroup ,"AMERIGROUP OHIO, INC. ","Elevance Health, Inc. ",No ,2,3,N/A ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1426 ,CCA Health California ,"CCA HEALTH PLANS OF CALIFORNIA, INC. ","Commonwealth Care Alliance, Inc. ",No ,2,4,N/A ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1463 ,Health Alliance Medicare ,"HEALTH ALLIANCE CONNECT, INC. ",The Carle Foundation ,No ,1,2,N/A ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1468 ,Humana ,"HUMANA BENEFIT PLAN OF ILLINOIS, INC. ",Humana Inc. ,No ,1,2,N/A ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1526 ,Gold Kidney Health Plan ,GOLD KIDNEY OF FLORIDA INC ,Gold Kidney Health Plan ,No ,N/A ,N/A ,N/A ,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
