Rating Period,Calendar Year,Model,County,Health Plan,Brand,Category of Aid,Lower Bound,Midpoint,Upper Bound,AWOP
07/2022-12/2022,2022,PACE,Los Angeles,Brandman Centers For Senior Care,Brandman Centers For Senior Care,Full-Dual,4397.93,4612.08,4844.77,6422.25
07/2022-12/2022,2022,PACE,Los Angeles,Brandman Centers For Senior Care,Brandman Centers For Senior Care,Non-Dual,7049.46,7401.18,7783.42,9413.8
07/2022-12/2022,2022,PACE,Orange,CalOptima,CalOptima,Full-Dual,3991.62,4189.19,4403.89,5891.84
07/2022-12/2022,2022,PACE,Orange,CalOptima,CalOptima,Non-Dual,7373.11,7745.13,8149.45,10159.04
07/2022-12/2022,2022,PACE,Alameda,Center For Elders Independence (CEI),Center For Elders Independence (CEI),Full-Dual,6026.98,6330.07,6659.45,6857.71
07/2022-12/2022,2022,PACE,Alameda,Center For Elders Independence (CEI),Center For Elders Independence (CEI),Non-Dual,8557.1,8990.46,9461.45,10661.91
07/2022-12/2022,2022,PACE,Contra Costa,Center For Elders Independence (CEI),Center For Elders Independence (CEI),Full-Dual,6026.98,6330.07,6659.45,6296.1
07/2022-12/2022,2022,PACE,Contra Costa,Center For Elders Independence (CEI),Center For Elders Independence (CEI),Non-Dual,8557.1,8990.46,9461.45,10333.48
07/2022-12/2022,2022,PACE,Fresno,Innovative Integrated Health,Innovative Integrated Health,Full-Dual,3669.64,3845.04,4035.6,5596.4
07/2022-12/2022,2022,PACE,Fresno,Innovative Integrated Health,Innovative Integrated Health,Non-Dual,4936.97,5177.66,5439.18,9157.62
07/2022-12/2022,2022,PACE,San Bernardino,InnovAge,InnovAge,Full-Dual,4099.32,4307.54,4533.83,5164.21
