PlayerID,ShortName,Team,Position,Position Title,Height_in,Weight_lbs,PhotoUrl,target
17123,N.Dzubnar,TEN,OLB,Outside Linebacker,73,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/17123.png,0
21360,D.Roberson,TEN,OLB,Outside Linebacker,75,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21360.png,0
20921,W.Ray,TEN,OLB,Outside Linebacker,75,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20921.png,0
19862,H.Landry III,TEN,OLB,Outside Linebacker,74,252,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19862.png,0
21578,T.Skipper,TEN,OLB,Outside Linebacker,75,246,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21578.png,0
13731,M.Kendricks,WAS,OLB,Outside Linebacker,61,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/13731.png,0
18943,R.Anderson,WAS,OLB,Outside Linebacker,74,255,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18943.png,0
4895,T.Davis Sr.,WAS,OLB,Outside Linebacker,73,235,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/4895.png,0
20827,J.Jelks,WAS,OLB,Outside Linebacker,77,256,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20827.png,0
22029,J.Jones,ARI,OL,Offensive Lineman,77,319,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/22029.png,1
21951,M.Hennessy,ATL,OL,Offensive Lineman,76,307,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21951.png,1
21206,P.Mekari,BAL,OL,Offensive Lineman,76,308,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21206.png,1
18205,M.Skura,BAL,OL,Offensive Lineman,75,313,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18205.png,1
20008,B.Bozeman,BAL,OL,Offensive Lineman,77,317,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20008.png,1
22143,L.Simmons,CHI,OL,Offensive Lineman,77,315,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/22143.png,1
22231,B.Traore,CHI,OL,Offensive Lineman,79,320,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/22231.png,1
16113,T.Hopkins,CIN,OL,Offensive Lineman,75,316,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16113.png,1
19479,E.Wilkinson,DEN,OL,Offensive Lineman,78,329,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19479.png,1
20482,A.Schlottmann,DEN,OL,Offensive Lineman,78,300,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20482.png,1
21997,L.Cushenberry III,DEN,OL,Offensive Lineman,75,312,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21997.png,1
22026,L.Stenberg,DET,OL,Offensive Lineman,78,321,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/22026.png,1
21944,J.Jackson,DET,OL,Offensive Lineman,75,309,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21944.png,1
16029,B.Turner,GB,OL,Offensive Lineman,77,310,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16029.png,1
22001,C.Cabral,HOU,OL,Offensive Lineman,77,304,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/22001.png,1
