Rating Period ,Calendar Year,Model,County,Health Plan,Category of Aid,Lower Bound,Midpoint,Upper Bound
1/21-12/21,2021,COHS,Santa Barbara,CenCal Health,SPD,1102.53,1124.7,1147.67
1/21-12/21,2021,COHS,Santa Barbara,CenCal Health,SPD Dual,245.94,251.47,257.21
1/21-12/21,2021,COHS,Santa Barbara,CenCal Health,WCM,2141.47,2186.66,2233.38
1/21-12/21,2021,COHS,Santa Cruz,Central CA Alliance for Health,Adult Expansion,427.8,438.74,450.11
1/21-12/21,2021,COHS,Santa Cruz,Central CA Alliance for Health,Adult,393.29,403.62,414.36
1/21-12/21,2021,COHS,Santa Cruz,Central CA Alliance for Health,Child,88.87,92.11,95.52
1/21-12/21,2021,COHS,Santa Cruz,Central CA Alliance for Health,LTC,8472.13,8584.45,8699.76
1/21-12/21,2021,COHS,Santa Cruz,Central CA Alliance for Health,LTC Dual,7517.36,7602.99,7690.63
1/21-12/21,2021,COHS,Santa Cruz,Central CA Alliance for Health,Maternity,8868.41,9121.16,9382.47
1/21-12/21,2021,COHS,Santa Cruz,Central CA Alliance for Health,SPD,1388.17,1419.72,1452.42
1/21-12/21,2021,COHS,Santa Cruz,Central CA Alliance for Health,SPD Dual,262.05,268.2,274.6
1/21-12/21,2021,COHS,Santa Cruz,Central CA Alliance for Health,WCM,1965.44,2009.6,2055.32
1/21-12/21,2021,COHS,Santa Cruz,Central CA Alliance for Health,Behavioral Health Treatment 0-6,3119.95,3200.99,3284.62
1/21-12/21,2021,COHS,Santa Cruz,Central CA Alliance for Health,Behavioral Health Treatment 7-20,2214.86,2272.39,2331.76
1/21-12/21,2021,COHS,Santa Cruz,Central CA Alliance for Health,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,COHS,Santa Cruz,Central CA Alliance for Health,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,COHS,Shasta,Partnership Health Plan,Adult Expansion,448.05,459.91,472.23
1/21-12/21,2021,COHS,Shasta,Partnership Health Plan,Adult,362.55,372.56,382.96
1/21-12/21,2021,COHS,Shasta,Partnership Health Plan,Child,86.56,89.76,93.11
1/21-12/21,2021,COHS,Shasta,Partnership Health Plan,LTC,10007.06,10135.2,10266.62
1/21-12/21,2021,COHS,Shasta,Partnership Health Plan,LTC Dual,7663.16,7748.84,7836.47
1/21-12/21,2021,COHS,Shasta,Partnership Health Plan,Maternity,11749.55,12081.47,12424.49
1/21-12/21,2021,COHS,Shasta,Partnership Health Plan,SPD,1238.1,1266.89,1296.71
1/21-12/21,2021,COHS,Shasta,Partnership Health Plan,SPD Dual,277.98,284.47,291.2
