Rate Period,Calendar,Model,County,Health Plan,Category of Aid,Lower Bound,Midpoint,Upper Bound
1/22-12/22,2022,GMC,Sacramento,Kaiser Foundation HP,SPD/Full-Dual,$144.56 ,$149.96 ,$155.66 
1/22-12/22,2022,GMC,Sacramento,Kaiser Foundation HP,Maternity,"$9,633.29 ","$9,929.33 ","$10,236.61 "
1/22-12/22,2022,GMC,Sacramento,Kaiser Foundation HP,Behavioral Health Treatment 0-6,"$4,898.28 ","$5,061.57 ","$5,231.38 "
1/22-12/22,2022,GMC,Sacramento,Kaiser Foundation HP,Behavioral Health Treatment 7-20,"$2,372.51 ","$2,451.60 ","$2,533.85 "
1/22-12/22,2022,GMC,Sacramento,Molina Healthcare,Child,$75.05 ,$78.70 ,$82.57 
1/22-12/22,2022,GMC,Sacramento,Molina Healthcare,Adult,$233.71 ,$242.35 ,$251.42 
1/22-12/22,2022,GMC,Sacramento,Molina Healthcare,ACA Optional Expansion,$299.04 ,$309.64 ,$320.76 
1/22-12/22,2022,GMC,Sacramento,Molina Healthcare,SPD,$825.95 ,$852.66 ,$880.54 
1/22-12/22,2022,GMC,Sacramento,Molina Healthcare,SPD/Full-Dual,$127.41 ,$132.66 ,$138.20 
1/22-12/22,2022,GMC,Sacramento,Molina Healthcare,Maternity,"$9,633.29 ","$9,929.33 ","$10,236.61 "
1/22-12/22,2022,GMC,Sacramento,Molina Healthcare,Behavioral Health Treatment 0-6,"$3,347.71 ","$3,459.31 ","$3,575.37 "
1/22-12/22,2022,GMC,Sacramento,Molina Healthcare,Behavioral Health Treatment 7-20,"$2,344.90 ","$2,423.07 ","$2,504.36 "
1/22-12/22,2022,GMC,Sacramento,Aetna Better Health,Child,$71.28 ,$74.81 ,$78.56 
1/22-12/22,2022,GMC,Sacramento,Aetna Better Health,Adult,$228.52 ,$236.97 ,$245.84 
1/22-12/22,2022,GMC,Sacramento,Aetna Better Health,ACA Optional Expansion,$283.54 ,$293.59 ,$304.12 
1/22-12/22,2022,GMC,Sacramento,Aetna Better Health,SPD,$775.78 ,$800.80 ,$826.92 
1/22-12/22,2022,GMC,Sacramento,Aetna Better Health,SPD/Full-Dual,$159.65 ,$165.62 ,$171.91 
1/22-12/22,2022,GMC,Sacramento,Aetna Better Health,Maternity,"$9,633.29 ","$9,929.33 ","$10,236.61 "
1/22-12/22,2022,GMC,Sacramento,Aetna Better Health,Behavioral Health Treatment 0-6,"$4,592.53 ","$4,745.64 ","$4,904.85 "
1/22-12/22,2022,GMC,Sacramento,Aetna Better Health,Behavioral Health Treatment 7-20,"$2,442.66 ","$2,524.10 ","$2,608.78 "
1/22-12/22,2022,GMC,San Diego,Blue Shield of California,Child,$82.99 ,$86.93 ,$91.12 
1/22-12/22,2022,GMC,San Diego,Blue Shield of California,Adult,$231.88 ,$240.46 ,$249.48 
1/22-12/22,2022,GMC,San Diego,Blue Shield of California,ACA Optional Expansion,$312.48 ,$323.50 ,$335.06 
1/22-12/22,2022,GMC,San Diego,Blue Shield of California,SPD,$870.84 ,$898.65 ,$927.67 
1/22-12/22,2022,GMC,San Diego,Blue Shield of California,SPD/Full-Dual (Non-CCI),$166.09 ,$172.40 ,$179.06 
1/22-12/22,2022,GMC,San Diego,Blue Shield of California,Maternity,"$7,742.95 ","$7,980.94 ","$8,227.97 "
1/22-12/22,2022,GMC,San Diego,Blue Shield of California,Behavioral Health Treatment 0-6,"$2,488.14 ","$2,571.09 ","$2,657.35 "
1/22-12/22,2022,GMC,San Diego,Blue Shield of California,Behavioral Health Treatment 7-20,"$1,956.52 ","$2,021.74 ","$2,089.57 "
1/22-12/22,2022,GMC,San Diego,Community Health Group,Child,$78.72 ,$82.50 ,$86.50 
1/22-12/22,2022,GMC,San Diego,Community Health Group,Adult,$259.60 ,$269.11 ,$279.10 
1/22-12/22,2022,GMC,San Diego,Community Health Group,ACA Optional Expansion,$317.22 ,$328.40 ,$340.12 
1/22-12/22,2022,GMC,San Diego,Community Health Group,SPD,$834.49 ,$861.04 ,$888.74 
1/22-12/22,2022,GMC,San Diego,Community Health Group,SPD/Full-Dual (Non-CCI),$162.23 ,$168.33 ,$174.76 
1/22-12/22,2022,GMC,San Diego,Community Health Group,Maternity,"$7,742.95 ","$7,980.94 ","$8,227.97 "
1/22-12/22,2022,GMC,San Diego,Community Health Group,Behavioral Health Treatment 0-6,"$2,241.09 ","$2,315.80 ","$2,393.49 "
1/22-12/22,2022,GMC,San Diego,Community Health Group,Behavioral Health Treatment 7-20,"$1,874.86 ","$1,937.36 ","$2,002.36 "
1/22-12/22,2022,GMC,San Diego,Health Net of California,Child,$79.83 ,$83.53 ,$87.44 
1/22-12/22,2022,GMC,San Diego,Health Net of California,Adult,$190.69 ,$197.68 ,$205.02 
1/22-12/22,2022,GMC,San Diego,Health Net of California,ACA Optional Expansion,$238.31 ,$246.68 ,$255.44 
1/22-12/22,2022,GMC,San Diego,Health Net of California,SPD,$618.56 ,$638.23 ,$658.76 
1/22-12/22,2022,GMC,San Diego,Health Net of California,SPD/Full-Dual (Non-CCI),$140.24 ,$145.25 ,$150.51 
1/22-12/22,2022,GMC,San Diego,Health Net of California,Maternity,"$7,742.95 ","$7,980.94 ","$8,227.97 "
1/22-12/22,2022,GMC,San Diego,Health Net of California,Behavioral Health Treatment 0-6,"$2,564.95 ","$2,650.47 ","$2,739.38 "
1/22-12/22,2022,GMC,San Diego,Health Net of California,Behavioral Health Treatment 7-20,"$2,210.48 ","$2,284.18 ","$2,360.81 "
