Rating Period,Calendar Year,Model,County,Health Plan,Category of Aid, Lower Bound , Midpoint , Upper Bound 
1/21-12/21,2021,Two-Plan,San Bernardino,Molina Healthcare,Health Homes Non-Dual,233.55,241.47,250.09
1/21-12/21,2021,Two-Plan,San Bernardino,Molina Healthcare,Health Homes Dual,76.41,78.81,81.41
1/21-12/21,2021,Two-Plan,San Bernardino,Molina Healthcare,Hep C 340B,"1,722.85","1,722.85","1,759.31"
1/21-12/21,2021,Two-Plan,San Bernardino,Molina Healthcare,Hep C Non-340B,"2,184.11","2,184.11","2,285.16"
1/21-12/21,2021,Two-Plan,San Bernardino,Molina Healthcare,Maternity,"6,853.90","7,063.94","7,281.92"
1/21-12/21,2021,Two-Plan,San Bernardino,Molina Healthcare,SPD,709.53,727.17,745.57
1/21-12/21,2021,Two-Plan,San Bernardino,Molina Healthcare,SPD Dual,113.22,117.05,121.08
1/21-12/21,2021,Two-Plan,San Francisco,Anthem Blue Cross,Adult,297.35,306.53,316.17
1/21-12/21,2021,Two-Plan,San Francisco,Anthem Blue Cross,Adult Expansion,347.85,357.94,368.53
1/21-12/21,2021,Two-Plan,San Francisco,Anthem Blue Cross,Behavioral Health Treatment 0-6,"3,156.06","3,244.80","3,336.74"
1/21-12/21,2021,Two-Plan,San Francisco,Anthem Blue Cross,Behavioral Health Treatment 7-20,"2,299.39","2,364.04","2,431.03"
1/21-12/21,2021,Two-Plan,San Francisco,Anthem Blue Cross,Child,97.91,102.2,106.75
1/21-12/21,2021,Two-Plan,San Francisco,Anthem Blue Cross,Health Homes Non-Dual,189.06,195.29,202.07
1/21-12/21,2021,Two-Plan,San Francisco,Anthem Blue Cross,Health Homes Dual,61.57,63.46,65.51
1/21-12/21,2021,Two-Plan,San Francisco,Anthem Blue Cross,Hep C 340B,"1,722.85","1,722.85","1,759.31"
1/21-12/21,2021,Two-Plan,San Francisco,Anthem Blue Cross,Hep C Non-340B,"2,184.11","2,184.11","2,285.16"
1/21-12/21,2021,Two-Plan,San Francisco,Anthem Blue Cross,Maternity,"8,401.59","8,659.04","8,926.22"
1/21-12/21,2021,Two-Plan,San Francisco,Anthem Blue Cross,SPD,959.5,984.69,"1,010.99"
1/21-12/21,2021,Two-Plan,San Francisco,Anthem Blue Cross,SPD Dual,394.09,407.79,422.15
1/21-12/21,2021,Two-Plan,San Francisco,San Francisco Health Plan,Adult,289.13,297.81,306.92
1/21-12/21,2021,Two-Plan,San Francisco,San Francisco Health Plan,Adult Expansion,380.71,391.65,403.13
1/21-12/21,2021,Two-Plan,San Francisco,San Francisco Health Plan,Behavioral Health Treatment 0-6,"3,008.71","3,093.31","3,180.96"
1/21-12/21,2021,Two-Plan,San Francisco,San Francisco Health Plan,Behavioral Health Treatment 7-20,"2,254.70","2,318.09","2,383.78"
1/21-12/21,2021,Two-Plan,San Francisco,San Francisco Health Plan,Child,111.88,116.56,121.51
1/21-12/21,2021,Two-Plan,San Francisco,San Francisco Health Plan,Health Homes Non-Dual,195.37,202.38,210.04
1/21-12/21,2021,Two-Plan,San Francisco,San Francisco Health Plan,Health Homes Dual,54.1,56.02,58.11
